loan_amount,term,interest_rate,installment,grade,sub_grade,loan_status,loan_purpose,balance,paid_total,paid_principal,paid_interest,annual_income,debt_to_income,emp_length,homeownership,verified_income,state,delinq_2y,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,credit_utilization,dti_group,income_group,problem_loan,issue_month,risk_category,issue_date
17000,60,9.43,356.46,B,B1,Current,credit_card,16326.13,1060.47,673.87,386.6,88000.0,3.67,10.0,MORTGAGE,Source Verified,CO,0,6,65,21,259915,14387,5.535271146336302,0-10,High,0,Feb-2018,No Current Problem,2018-02-01
3000,36,19.03,110.02,D,D3,Current,debt_consolidation,2744.21,454.36,255.79,198.57,17000.0,33.98,Unknown,MORTGAGE,Verified,FL,1,0,22,10,74042,26483,35.76753734366981,30-40,Low,0,Jan-2018,No Current Problem,2018-01-01
20000,60,19.03,519.15,D,D3,Current,credit_card,19172.64,2023.74,827.36,1196.38,60000.0,38.46,10.0,MORTGAGE,Not Verified,TN,0,0,21,11,136815,75552,55.22201512991997,30-40,Medium,0,Feb-2018,No Current Problem,2018-02-01
12000,60,19.03,311.49,D,D3,Current,credit_card,11374.52,1532.08,625.48,906.6,60000.0,31.22,Unknown,MORTGAGE,Not Verified,NV,0,4,21,9,375092,93016,24.798182845808494,30-40,Medium,0,Jan-2018,No Current Problem,2018-01-01
30000,60,28.72,947.15,F,F1,Current,debt_consolidation,28798.08,4687.88,1201.92,3485.96,72000.0,20.33,3.0,RENT,Source Verified,NV,0,6,12,6,58911,54947,93.27120571709867,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
5000,36,26.77,203.51,E,E5,Fully Paid,medical,0.0,5202.6426724643,5000.0,202.64,210000.0,9.53,10.0,MORTGAGE,Verified,IL,0,2,18,7,322046,73705,22.886482055358552,0-10,Very High,0,Feb-2018,No Current Problem,2018-02-01
20000,60,15.05,476.33,C,C4,Fully Paid,debt_consolidation,0.0,20653.717721938,20000.0,653.72,83000.0,18.44,1.0,MORTGAGE,Source Verified,CA,3,1,11,6,555154,39482,7.11190048166815,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
7000,36,6.08,213.21,A,A2,Current,credit_card,6102.23,1063.69,897.77,165.92,50000.0,15.6,10.0,MORTGAGE,Not Verified,KY,0,0,13,9,70313,18128,25.781861106765465,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
10000,36,11.98,332.05,B,B5,Current,credit_card,9296.37,989.49,703.63,285.86,42000.0,32.0,1.0,MORTGAGE,Source Verified,NV,0,4,19,9,272403,47575,17.464932471375132,30-40,Medium,0,Mar-2018,No Current Problem,2018-03-01
21050,60,13.59,485.34,C,C2,Current,debt_consolidation,20045.3,1909.57,1004.7,904.87,100000.0,26.53,5.0,MORTGAGE,Not Verified,NJ,0,1,64,17,566384,151251,26.704673860843524,20-30,High,0,Feb-2018,No Current Problem,2018-02-01
3500,36,6.71,107.61,A,A3,Current,home_improvement,3323.42,223.71,176.58,47.13,40280.0,7.27,Unknown,MORTGAGE,Verified,TX,0,1,10,4,188450,6103,3.238524807641284,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
8000,36,7.96,250.55,A,A5,Current,credit_card,7403.61,744.57,596.39,148.18,82000.0,17.31,10.0,RENT,Not Verified,VA,0,1,26,7,65425,69177,105.73481085212076,10-20,High,0,Mar-2018,No Current Problem,2018-03-01
18000,60,12.61,405.98,C,C1,Current,debt_consolidation,17342.65,1205.33,657.35,547.98,55000.0,14.42,7.0,MORTGAGE,Source Verified,PA,0,0,20,14,197985,17296,8.736015354698589,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
10000,36,11.98,332.05,B,B5,Current,credit_card,9432.28,750.79,567.72,183.07,55000.0,13.68,1.0,RENT,Source Verified,NY,0,7,17,11,41891,26637,63.586450550237515,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
3200,36,7.34,99.31,A,A4,Current,debt_consolidation,2557.44,696.63,642.56,54.07,33000.0,19.38,5.0,RENT,Not Verified,IL,0,0,9,8,43876,22920,52.23812562676634,10-20,Low,0,Feb-2018,No Current Problem,2018-02-01
10000,36,5.32,301.15,A,A1,Current,debt_consolidation,8704.48,1498.36,1295.52,202.84,60000.0,11.0,3.0,RENT,Not Verified,GA,0,0,13,9,56000,14338,25.60357142857143,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
6000,36,6.07,182.73,A,A2,Current,house,5540.54,544.14,459.46,84.68,48000.0,2.88,4.0,MORTGAGE,Source Verified,MO,0,2,26,9,147217,2489,1.6907014814865131,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
12000,36,12.62,402.14,C,C1,Current,debt_consolidation,10878.71,1600.15,1121.29,478.86,106000.0,26.25,4.0,MORTGAGE,Verified,CA,0,2,36,15,405236,105548,26.046057112398703,20-30,Very High,0,Feb-2018,No Current Problem,2018-02-01
40000,60,9.44,838.91,B,B1,Current,debt_consolidation,37878.15,3334.66,2121.85,1212.81,245000.0,24.9,3.0,MORTGAGE,Source Verified,TX,0,1,37,20,772243,497876,64.47141638059523,20-30,Very High,0,Feb-2018,No Current Problem,2018-02-01
19000,60,19.03,493.19,D,D3,Current,credit_card,18214.02,1922.54,785.98,1136.56,50000.0,36.75,9.0,MORTGAGE,Verified,AR,1,0,31,20,246210,51523,20.926444904756103,30-40,Medium,0,Feb-2018,No Current Problem,2018-02-01
28000,60,20.39,747.92,D,D4,Current,debt_consolidation,27169.59,2180.32,830.41,1349.91,80000.0,28.3,3.0,MORTGAGE,Source Verified,SC,0,0,27,14,250359,113927,45.50545416781502,20-30,High,0,Mar-2018,No Current Problem,2018-03-01
15000,60,9.93,318.19,B,B2,Fully Paid,debt_consolidation,0.0,15005.166875,15000.0,5.17,140000.0,13.82,10.0,MORTGAGE,Not Verified,CA,0,2,21,12,631258,69647,11.033048294041423,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
2400,36,6.08,73.1,A,A2,Fully Paid,small_business,0.0,2409.0499926707,2400.0,9.05,70000.0,0.0,1.0,OWN,Source Verified,MD,0,0,13,3,30400,92,0.3026315789473684,0-10,Medium,0,Jan-2018,No Current Problem,2018-01-01
10000,36,21.45,379.07,D,D5,Current,debt_consolidation,8961.95,1871.52,1038.05,833.47,45000.0,10.59,2.0,RENT,Source Verified,MD,0,1,9,7,14500,13304,91.75172413793103,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
24000,60,15.04,571.47,C,C4,In Grace Period,car,23455.27,1102.83,544.73,558.1,70000.0,17.06,10.0,MORTGAGE,Verified,NJ,0,2,21,14,363649,29954,8.23706376203427,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
9500,36,10.42,308.42,B,B3,Current,other,8350.57,1531.1,1149.43,381.67,75000.0,18.53,2.0,RENT,Not Verified,PA,0,2,12,6,55075,34186,62.071720381298235,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
30000,36,12.61,1005.2,C,C1,Current,other,27196.39,3978.77,2803.61,1175.16,53592.0,7.1,2.0,RENT,Source Verified,CA,0,0,6,4,42499,10466,24.626461799101154,0-10,Medium,0,Feb-2018,No Current Problem,2018-02-01
10000,60,18.06,254.27,D,D2,Current,other,9465.3,1261.32,534.7,726.62,19000.0,24.79,Unknown,MORTGAGE,Not Verified,MI,0,0,12,6,23234,12435,53.52070241886891,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
15000,60,11.99,333.6,B,B5,Current,moving,14254.01,1314.42,745.99,568.43,90000.0,15.72,5.0,RENT,Source Verified,MD,0,8,24,10,77285,51012,66.00504625735913,10-20,High,0,Feb-2018,No Current Problem,2018-02-01
35000,60,15.05,833.57,C,C4,Current,debt_consolidation,33391.61,3275.75,1608.39,1667.36,77000.0,14.82,10.0,RENT,Source Verified,VA,0,0,29,14,74852,44015,58.802704002565065,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
10000,36,15.05,346.9,C,C4,Current,credit_card,9097.26,1379.24,902.74,476.5,42000.0,25.89,2.0,RENT,Source Verified,TX,0,1,11,6,43239,31094,71.91193135826452,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
40000,60,12.62,902.37,C,C1,Current,home_improvement,38042.58,3581.44,1957.42,1624.02,130000.0,13.51,4.0,MORTGAGE,Source Verified,TX,0,2,15,11,403408,49857,12.358951731249752,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
15000,36,6.72,461.24,A,A3,Current,debt_consolidation,13092.56,2295.0,1907.44,387.56,76300.0,10.71,10.0,OWN,Not Verified,NC,0,4,30,12,185068,26515,14.327166230790844,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
20000,36,6.71,614.9,A,A3,Current,debt_consolidation,18991.05,1214.89,1008.95,205.94,190000.0,2.68,2.0,MORTGAGE,Not Verified,FL,0,0,17,9,175300,18870,10.76440387906446,0-10,Very High,0,Mar-2018,No Current Problem,2018-03-01
4500,36,15.05,156.11,C,C4,Current,debt_consolidation,4093.75,620.68,406.25,214.43,41000.0,25.7,0.0,RENT,Verified,TX,0,0,23,7,29311,13527,46.149909590256215,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
16000,60,9.93,339.41,B,B2,Current,car,14947.68,1688.22,1052.32,635.9,30000.0,3.64,2.0,RENT,Not Verified,NE,0,0,9,7,18000,5542,30.788888888888888,0-10,Low,0,Jan-2018,No Current Problem,2018-01-01
10000,36,10.42,324.65,B,B3,Current,credit_card,9036.27,1292.81,963.73,329.08,88000.0,17.24,6.0,MORTGAGE,Source Verified,NC,0,2,39,25,404236,199983,49.47184318071621,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
20000,60,22.91,562.78,E,E1,Current,debt_consolidation,19255.22,2225.66,744.78,1480.88,115000.0,18.72,2.0,MORTGAGE,Verified,TX,0,6,21,15,394519,69124,17.521082634803392,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
20600,60,30.79,676.52,G,G1,Current,debt_consolidation,19821.53,3345.79,778.47,2567.32,95731.0,19.64,10.0,RENT,Not Verified,TX,0,1,37,15,86768,53109,61.20804905034114,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
35000,60,15.05,833.57,C,C4,Current,major_purchase,33396.01,3305.02,1603.99,1701.03,127000.0,9.12,2.0,RENT,Source Verified,CA,1,0,11,9,74518,34313,46.04659276953219,0-10,Very High,0,Feb-2018,No Current Problem,2018-02-01
10000,36,6.07,304.54,A,A2,Current,debt_consolidation,9234.27,910.25,765.73,144.52,75000.0,22.91,10.0,MORTGAGE,Source Verified,GA,0,0,27,8,224758,63799,28.385641445465794,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
12000,36,6.07,365.45,A,A2,Current,debt_consolidation,11081.12,1092.3,918.88,173.42,70000.0,21.41,5.0,MORTGAGE,Not Verified,NC,0,1,21,6,279995,52244,18.658904623296845,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
1925,36,17.47,69.09,D,D1,Current,debt_consolidation,1842.26,139.02,82.74,56.28,22000.0,13.05,Unknown,OWN,Source Verified,FL,0,0,6,3,130600,4277,3.274885145482389,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
15000,36,7.34,465.5,A,A4,Current,house,13871.88,1390.38,1128.12,262.26,75000.0,20.16,8.0,MORTGAGE,Verified,NJ,0,4,39,23,365595,30262,8.277465501442853,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
20000,36,13.59,679.58,C,C2,Current,debt_consolidation,18156.66,2703.22,1843.34,859.88,73000.0,39.08,10.0,MORTGAGE,Verified,NV,0,8,28,24,146435,51162,34.9383685594291,30-40,Medium,0,Feb-2018,No Current Problem,2018-02-01
6000,36,6.72,184.5,A,A3,Current,debt_consolidation,5391.31,736.88,608.69,128.19,76000.0,14.62,Unknown,MORTGAGE,Not Verified,NV,0,2,15,14,368543,24135,6.548760931560225,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
10000,36,5.31,301.11,A,A1,Current,debt_consolidation,8965.72,1201.49,1034.28,167.21,188000.0,11.64,10.0,RENT,Not Verified,CO,0,1,26,24,80444,45181,56.16453682064542,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
25000,36,9.93,805.86,B,B2,Current,debt_consolidation,21955.1,4015.51,3044.9,970.61,50000.0,12.15,8.0,MORTGAGE,Verified,WV,0,8,27,13,97664,21687,22.205725753604195,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
10000,36,9.92,322.3,B,B2,Current,debt_consolidation,9275.14,961.39,724.86,236.53,58000.0,12.58,10.0,OWN,Source Verified,MD,0,0,22,10,37300,14770,39.597855227882036,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
6000,36,9.93,193.41,B,B2,Current,debt_consolidation,5417.78,768.68,582.22,186.46,105000.0,16.73,1.0,RENT,Not Verified,VA,0,0,6,6,63600,53168,83.59748427672956,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
20000,60,14.07,466.1,C,C3,Current,credit_card,19297.02,1367.03,702.98,664.05,114000.0,28.13,10.0,MORTGAGE,Verified,VA,1,1,28,17,451597,88594,19.617933688664895,20-30,Very High,0,Mar-2018,No Current Problem,2018-03-01
15000,36,7.97,469.84,A,A5,Current,medical,13504.32,1866.08,1495.68,370.4,150000.0,7.89,10.0,MORTGAGE,Source Verified,CA,0,1,22,8,96633,43253,44.76007161114733,0-10,Very High,0,Feb-2018,No Current Problem,2018-02-01
20000,36,5.31,602.21,A,A1,Current,debt_consolidation,18452.04,1800.73,1547.96,252.77,69000.0,15.42,0.0,MORTGAGE,Not Verified,PA,0,0,37,8,291176,33890,11.639008709509026,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
10500,60,9.93,222.74,B,B2,Current,debt_consolidation,9949.81,885.17,550.19,334.98,30000.0,32.4,10.0,MORTGAGE,Not Verified,FL,0,1,27,23,69244,23425,33.8296458898966,30-40,Low,0,Feb-2018,No Current Problem,2018-02-01
11400,60,14.08,265.74,C,C3,Current,credit_card,10862.71,1098.63,537.29,561.34,60000.0,17.28,5.0,MORTGAGE,Source Verified,IL,0,2,16,13,47882,36724,76.69687982958105,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
5500,36,12.61,184.29,C,C1,Current,car,5116.52,549.02,383.48,165.54,74000.0,32.06,5.0,MORTGAGE,Not Verified,NH,0,0,15,9,384554,63783,16.58622716185503,30-40,Medium,0,Mar-2018,No Current Problem,2018-03-01
5000,36,12.62,167.56,C,C1,Current,debt_consolidation,4412.9,829.04,587.1,241.94,25000.0,3.7,0.0,RENT,Source Verified,UT,1,1,6,4,1900,807,42.473684210526315,0-10,Low,0,Jan-2018,No Current Problem,2018-01-01
9600,36,17.47,344.52,D,D1,Current,other,8976.73,1014.93,623.27,391.66,32000.0,22.09,Unknown,OWN,Source Verified,DE,0,6,13,6,30649,24714,80.63558354269307,20-30,Low,0,Mar-2018,No Current Problem,2018-03-01
15000,36,12.62,502.67,C,C1,Current,other,13238.74,2502.83,1761.26,741.57,31000.0,16.26,0.0,RENT,Source Verified,MA,0,2,32,21,43430,14955,34.434722542021646,10-20,Low,0,Jan-2018,No Current Problem,2018-01-01
10000,36,6.71,307.45,A,A3,Current,debt_consolidation,9241.17,914.89,758.83,156.06,64000.0,8.72,3.0,RENT,Source Verified,NJ,0,0,5,5,49500,19719,39.836363636363636,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
10450,60,19.42,273.5,D,D3,Current,major_purchase,9609.03,1297.95,840.97,456.98,24000.0,16.3,3.0,RENT,Source Verified,KY,0,1,11,11,54966,42068,76.53458501619183,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
7200,36,12.62,241.29,C,C1,Current,credit_card,6527.2,960.11,672.8,287.31,77000.0,16.04,2.0,MORTGAGE,Source Verified,NC,0,3,23,16,188426,59514,31.584813136191396,10-20,High,0,Feb-2018,No Current Problem,2018-02-01
35000,60,14.08,815.85,C,C3,Current,debt_consolidation,32925.97,4119.53,2074.03,2045.5,31000.0,28.42,10.0,MORTGAGE,Not Verified,FL,0,0,15,8,190216,24861,13.06987845396812,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
4200,36,10.91,137.33,B,B4,Current,debt_consolidation,3695.17,672.66,504.83,167.83,13930.0,21.94,Unknown,RENT,Verified,OR,0,1,11,6,13450,4212,31.315985130111525,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
2400,36,17.47,86.13,D,D1,Current,other,2244.18,256.06,155.82,100.24,60000.0,19.22,0.0,RENT,Verified,OH,0,3,23,14,69357,68594,98.899894747466,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
12800,36,18.06,463.14,D,D2,Current,credit_card,11693.32,1871.83,1106.68,765.15,41787.0,37.74,9.0,MORTGAGE,Verified,TX,0,1,32,11,42639,36441,85.46401182016464,30-40,Medium,0,Jan-2018,No Current Problem,2018-01-01
8000,36,16.02,281.34,C,C5,Current,other,7103.69,1392.46,896.31,496.15,45000.0,15.44,4.0,MORTGAGE,Verified,CA,0,2,31,18,215675,13559,6.286774081372435,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
30000,36,19.03,1100.14,D,D3,Current,debt_consolidation,27442.4,4368.84,2557.6,1811.24,77000.0,18.39,0.0,MORTGAGE,Verified,OK,0,3,11,7,174300,31663,18.165806081468734,10-20,High,0,Feb-2018,No Current Problem,2018-02-01
7000,36,12.62,234.58,C,C1,Current,debt_consolidation,6178.08,1163.08,821.92,341.16,72000.0,27.23,1.0,MORTGAGE,Source Verified,PA,0,7,21,13,158659,65964,41.575958502196535,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
25000,36,6.07,761.35,A,A2,Current,other,22441.1,3036.97,2558.9,478.07,165000.0,11.14,8.0,MORTGAGE,Source Verified,TX,0,2,24,8,103527,70510,68.10783660301178,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
40000,60,9.43,838.71,B,B1,Current,home_improvement,37877.63,3220.14,2122.37,1097.77,43000.0,1.56,10.0,MORTGAGE,Source Verified,FL,0,3,30,15,45100,860,1.9068736141906875,0-10,Medium,0,Mar-2018,No Current Problem,2018-03-01
24000,60,10.42,514.91,B,B3,Current,debt_consolidation,22440.6,2505.09,1559.4,945.69,90000.0,17.44,10.0,MORTGAGE,Verified,VA,0,1,32,10,524622,87687,16.7143200247035,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
5000,36,7.96,156.59,A,A5,Current,debt_consolidation,4627.27,465.35,372.73,92.62,95000.0,11.45,10.0,OWN,Not Verified,SD,0,2,40,10,73740,14461,19.610794684024953,10-20,High,0,Mar-2018,No Current Problem,2018-03-01
40000,60,13.59,922.25,C,C2,Current,small_business,37600.0,4550.85,2400.0,2150.85,152000.0,21.09,10.0,MORTGAGE,Not Verified,MO,0,5,44,18,476029,121076,25.43458486772865,20-30,Very High,0,Jan-2018,No Current Problem,2018-01-01
15000,60,15.04,357.17,C,C4,Current,credit_card,14486.1,996.32,513.9,482.42,49500.0,34.86,2.0,MORTGAGE,Source Verified,IL,0,1,35,14,241110,159851,66.29795529011653,30-40,Medium,0,Mar-2018,No Current Problem,2018-03-01
5000,36,12.61,167.54,C,C1,Current,home_improvement,4651.37,499.12,348.63,150.49,32000.0,13.77,5.0,OWN,Source Verified,TX,0,1,21,15,37596,18294,48.6594318544526,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
7000,36,7.96,219.23,A,A5,Current,credit_card,6478.16,654.59,521.84,132.75,78000.0,9.61,8.0,RENT,Source Verified,FL,0,3,21,15,48354,40982,84.75410514124995,0-10,High,0,Mar-2018,No Current Problem,2018-03-01
17450,60,13.58,402.25,C,C2,Current,debt_consolidation,16828.69,1219.92,621.31,598.61,52000.0,24.39,2.0,RENT,Source Verified,AZ,0,4,23,9,86360,47451,54.9455766558592,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
30000,60,16.01,729.71,C,C5,Current,debt_consolidation,29336.68,1432.74,663.32,769.42,147000.0,5.16,10.0,MORTGAGE,Source Verified,NY,0,6,11,8,386381,23551,6.095279012166747,0-10,Very High,0,Mar-2018,No Current Problem,2018-03-01
15000,36,22.91,579.95,E,E1,Current,debt_consolidation,13791.64,2281.62,1208.36,1073.26,140000.0,28.53,10.0,OWN,Verified,NJ,0,1,40,14,454500,177350,39.02090209020902,20-30,Very High,0,Feb-2018,No Current Problem,2018-02-01
20000,36,7.97,626.46,A,A5,Current,debt_consolidation,17499.09,3110.16,2500.91,609.25,50000.0,20.74,5.0,RENT,Not Verified,IL,0,8,39,28,128476,16061,12.50116753323578,20-30,Medium,0,Jan-2018,No Current Problem,2018-01-01
15000,60,18.06,381.4,D,D2,Current,debt_consolidation,14197.97,1891.95,802.03,1089.92,55000.0,12.22,Unknown,RENT,Not Verified,MN,4,3,22,16,26500,10994,41.48679245283019,10-20,Medium,0,Jan-2018,No Current Problem,2018-01-01
12000,36,6.08,365.5,A,A2,Current,debt_consolidation,10771.9,1474.16,1228.1,246.06,190000.0,15.84,3.0,MORTGAGE,Not Verified,TX,0,0,15,10,619105,84019,13.571042068792854,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
16500,36,5.32,496.9,A,A1,Current,debt_consolidation,14793.69,1982.72,1706.31,276.41,126000.0,3.82,10.0,RENT,Source Verified,CO,0,0,9,3,49529,7020,14.173514506652667,0-10,Very High,0,Feb-2018,No Current Problem,2018-02-01
19200,36,5.32,578.21,A,A1,Current,debt_consolidation,17214.48,2307.17,1985.52,321.65,95000.0,15.48,10.0,MORTGAGE,Not Verified,MA,0,2,18,13,277964,47779,17.18891655034465,10-20,High,0,Feb-2018,No Current Problem,2018-02-01
7050,36,9.93,227.26,B,B2,Current,major_purchase,6191.3,1132.41,858.7,273.71,80000.0,14.16,10.0,MORTGAGE,Source Verified,NJ,0,2,19,11,285387,22788,7.984946756509581,10-20,High,0,Jan-2018,No Current Problem,2018-01-01
15000,60,20.0,397.41,D,D4,Current,credit_card,14395.45,1572.97,604.55,968.42,23000.0,49.58,10.0,MORTGAGE,Verified,MN,0,2,31,11,44927,29553,65.78004318116055,40+,Low,0,Feb-2018,No Current Problem,2018-02-01
11200,36,15.05,388.53,C,C4,Current,debt_consolidation,10188.92,1535.39,1011.08,524.31,66000.0,13.27,10.0,OWN,Not Verified,NY,0,0,11,7,65475,60327,92.13745704467354,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
8000,36,7.96,250.55,A,A5,Current,debt_consolidation,7403.61,744.57,596.39,148.18,60000.0,16.72,5.0,RENT,Source Verified,IL,0,13,11,11,242220,30552,12.613326727768145,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
20000,60,26.77,607.97,E,E5,Current,debt_consolidation,19503.68,1764.42,496.32,1268.1,101000.0,18.5,0.0,MORTGAGE,Source Verified,TX,1,2,41,15,343573,39168,11.400197337974753,10-20,Very High,0,Mar-2018,No Current Problem,2018-03-01
10800,60,9.44,226.51,B,B1,Current,home_improvement,10081.03,1126.89,718.97,407.92,113000.0,15.28,4.0,MORTGAGE,Not Verified,TN,0,6,29,21,795794,78028,9.805050050641247,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
7200,36,13.59,244.65,C,C2,Current,debt_consolidation,6536.39,1003.07,663.61,339.46,61000.0,19.05,10.0,MORTGAGE,Not Verified,NH,0,9,41,11,141543,42210,29.821326381382335,10-20,Medium,0,Feb-2018,No Current Problem,2018-02-01
12000,36,15.04,416.22,C,C4,Current,debt_consolidation,11192.5,1228.61,807.5,421.11,28000.0,26.96,1.0,RENT,Source Verified,SC,0,0,11,10,28300,13329,47.09893992932862,20-30,Low,0,Mar-2018,No Current Problem,2018-03-01
20000,36,5.31,602.21,A,A1,Current,credit_card,18452.04,1800.73,1547.96,252.77,75000.0,21.63,2.0,MORTGAGE,Not Verified,NY,0,2,27,17,213035,79897,37.504165982115616,20-30,Medium,0,Mar-2018,No Current Problem,2018-03-01
7200,36,14.08,246.36,C,C3,Fully Paid,home_improvement,0.0,7518.1804182483,7200.0,318.18,44000.0,24.77,2.0,MORTGAGE,Verified,FL,0,8,16,9,56476,40706,72.07663432254408,20-30,Medium,0,Feb-2018,No Current Problem,2018-02-01
